ID,Date,Region,City,Category,Product,Qty,UnitPrice,TotalPrice
ID07377,20-мар.,East,New York,Snacks,Potato Chips,68,"1,68","114,24"
ID07378,23-мар.,West,San Diego,Cookies,Chocolate Chip,39,"1,87","72,93"
ID07379,26-мар.,East,Boston,Bars,Bran,103,"1,87","192,61"
ID07380,29-мар.,East,Boston,Cookies,Oatmeal Raisin,193,"2,84","548,12"
ID07381,1-апр.,West,Los Angeles,Bars,Carrot,58,"1,77","102,66"
ID07382,4-апр.,West,Los Angeles,Snacks,Potato Chips,68,"1,68","114,24"
ID07383,7-апр.,East,New York,Bars,Carrot,91,"1,77","161,07"
ID07384,10-апр.,East,New York,Crackers,Whole Wheat,23,"3,49","80,27"
ID07385,13-апр.,West,San Diego,Snacks,Potato Chips,28,"1,68","47,04"
ID07386,16-апр.,East,Boston,Bars,Carrot,48,"1,77","84,96"
ID07387,19-апр.,East,Boston,Snacks,Potato Chips,134,"1,68","225,12"
ID07388,22-апр.,West,Los Angeles,Bars,Carrot,20,"1,77","35,4"
ID07389,25-апр.,East,New York,Bars,Carrot,53,"1,77","93,81"
ID07390,28-апр.,East,New York,Snacks,Potato Chips,64,"1,68","107,52"
ID07391,1-мая,West,San Diego,Cookies,Chocolate Chip,63,"1,87","117,81"
ID07392,4-мая,East,Boston,Bars,Bran,105,"1,87","196,35"
ID07393,7-мая,East,Boston,Cookies,Oatmeal Raisin,138,"2,84","391,92"
ID07394,10-мая,West,Los Angeles,Bars,Carrot,25,"1,77","44,25"
ID07395,13-мая,West,Los Angeles,Crackers,Whole Wheat,21,"3,49","73,29"
ID07396,16-мая,East,New York,Bars,Carrot,61,"1,77","107,97"
ID07397,19-мая,East,New York,Snacks,Potato Chips,49,"1,68","82,32"
ID07398,22-мая,West,San Diego,Cookies,Chocolate Chip,55,"1,87","102,85"
ID07399,25-мая,East,Boston,Cookies,Arrowroot,27,"2,18","58,86"
ID07400,28-мая,East,Boston,Bars,Carrot,58,"1,77","102,66"
ID07401,31-мая,East,Boston,Crackers,Whole Wheat,33,"3,49","115,17"
ID07402,3-июн.,West,Los Angeles,Cookies,Oatmeal Raisin,288,"2,84","817,92"
ID07403,6-июн.,East,New York,Cookies,Chocolate Chip,76,"1,87","142,12"
ID07404,9-июн.,West,San Diego,Bars,Carrot,42,"1,77","74,34"
ID07405,12-июн.,West,San Diego,Crackers,Whole Wheat,20,"3,49","69,8"
ID07406,15-июн.,East,Boston,Bars,Carrot,75,"1,77","132,75"
ID07407,18-июн.,East,Boston,Crackers,Whole Wheat,38,"3,49","132,62"
ID07408,21-июн.,West,Los Angeles,Bars,Carrot,306,"1,77","541,62"
ID07409,24-июн.,West,Los Angeles,Snacks,Potato Chips,28,"1,68","47,04"
ID07410,27-июн.,East,New York,Bars,Bran,110,"1,87","205,7"
ID07411,30-июн.,East,New York,Cookies,Oatmeal Raisin,51,"2,84","144,84"
ID07412,3-июл.,West,San Diego,Bars,Carrot,52,"1,77","92,04"
ID07413,6-июл.,West,San Diego,Crackers,Whole Wheat,28,"3,49","97,72"
ID07414,9-июл.,East,Boston,Bars,Carrot,136,"1,77","240,72"
ID07415,12-июл.,East,Boston,Crackers,Whole Wheat,42,"3,49","146,58"
ID07416,15-июл.,West,Los Angeles,Cookies,Chocolate Chip,75,"1,87","140,25"
ID07417,18-июл.,East,New York,Bars,Bran,72,"1,87","134,64"
ID07418,21-июл.,East,New York,Cookies,Oatmeal Raisin,56,"2,84","159,04"
ID07419,24-июл.,West,San Diego,Bars,Bran,51,"1,87","95,37"
ID07420,27-июл.,West,San Diego,Snacks,Potato Chips,31,"1,68","52,08"
ID07421,30-июл.,East,Boston,Bars,Bran,56,"1,87","104,72"
ID07422,2-авг.,East,Boston,Cookies,Oatmeal Raisin,137,"2,84","389,08"
ID07423,5-авг.,West,Los Angeles,Cookies,Chocolate Chip,107,"1,87","200,09"
ID07424,8-авг.,East,New York,Bars,Carrot,24,"1,77","42,48"
ID07425,11-авг.,East,New York,Crackers,Whole Wheat,30,"3,49","104,7"
ID07426,14-авг.,West,San Diego,Cookies,Chocolate Chip,70,"1,87","130,9"
ID07427,17-авг.,East,Boston,Cookies,Arrowroot,31,"2,18","67,58"
ID07428,20-авг.,East,Boston,Bars,Carrot,109,"1,77","192,93"
ID07429,23-авг.,East,Boston,Crackers,Whole Wheat,21,"3,49","73,29"
ID07430,26-авг.,West,Los Angeles,Cookies,Chocolate Chip,80,"1,87","149,6"
ID07431,29-авг.,East,New York,Bars,Bran,75,"1,87","140,25"
ID07432,1-сент.,East,New York,Cookies,Oatmeal Raisin,74,"2,84","210,16"
ID07433,4-сент.,West,San Diego,Bars,Carrot,45,"1,77","79,65"
ID07434,7-сент.,East,Boston,Cookies,Arrowroot,28,"2,18","61,04"
ID07435,10-сент.,East,Boston,Bars,Carrot,143,"1,77","253,11"
ID07436,13-сент.,East,Boston,Snacks,Pretzels,27,"3,15","85,05"
ID07437,16-сент.,West,Los Angeles,Bars,Carrot,133,"1,77","235,41"
ID07438,19-сент.,East,New York,Cookies,Arrowroot,110,"2,18","239,8"
ID07439,22-сент.,East,New York,Cookies,Chocolate Chip,65,"1,87","121,55"
ID07440,25-сент.,West,San Diego,Bars,Bran,33,"1,87","61,71"
ID07441,28-сент.,East,Boston,Cookies,Arrowroot,81,"2,18","176,58"
ID07442,1-окт.,East,Boston,Bars,Carrot,77,"1,77","136,29"
ID07443,4-окт.,East,Boston,Crackers,Whole Wheat,38,"3,49","132,62"
ID07444,7-окт.,West,Los Angeles,Bars,Carrot,40,"1,77","70,8"
ID07445,10-окт.,West,Los Angeles,Snacks,Potato Chips,114,"1,68","191,52"
ID07446,13-окт.,East,New York,Cookies,Arrowroot,224,"2,18","488,32"
ID07447,16-окт.,East,New York,Bars,Carrot,141,"1,77","249,57"
ID07448,19-окт.,East,New York,Crackers,Whole Wheat,32,"3,49","111,68"
ID07449,22-окт.,West,San Diego,Bars,Carrot,20,"1,77","35,4"
ID07450,25-окт.,East,Boston,Cookies,Arrowroot,40,"2,18","87,2"
ID07451,28-окт.,East,Boston,Cookies,Chocolate Chip,49,"1,87","91,63"
ID07452,31-окт.,East,Boston,Crackers,Whole Wheat,46,"3,49","160,54"
ID07453,3-нояб.,West,Los Angeles,Bars,Carrot,39,"1,77","69,03"
ID07454,6-нояб.,West,Los Angeles,Snacks,Potato Chips,62,"1,68","104,16"
ID07455,9-нояб.,East,New York,Bars,Carrot,90,"1,77","159,3"
ID07456,12-нояб.,West,San Diego,Cookies,Arrowroot,103,"2,18","224,54"
ID07457,15-нояб.,West,San Diego,Cookies,Oatmeal Raisin,32,"2,84","90,88"
ID07458,18-нояб.,East,Boston,Bars,Bran,66,"1,87","123,42"
ID07459,21-нояб.,East,Boston,Cookies,Oatmeal Raisin,97,"2,84","275,48"
ID07460,24-нояб.,West,Los Angeles,Bars,Carrot,30,"1,77","53,1"
ID07461,27-нояб.,West,Los Angeles,Snacks,Potato Chips,29,"1,68","48,72"
ID07462,30-нояб.,East,New York,Bars,Carrot,92,"1,77","162,84"
ID07463,3-дек.,West,San Diego,Cookies,Arrowroot,139,"2,18","303,02"
ID07464,6-дек.,West,San Diego,Cookies,Oatmeal Raisin,29,"2,84","82,36"
ID07465,9-дек.,East,Boston,Bars,Banana,30,"2,27","68,1"
ID07466,12-дек.,East,Boston,Cookies,Chocolate Chip,36,"1,87","67,32"
ID07467,15-дек.,East,Boston,Crackers,Whole Wheat,41,"3,49","143,09"
ID07468,18-дек.,West,Los Angeles,Bars,Carrot,44,"1,77","77,88"
ID07469,21-дек.,West,Los Angeles,Snacks,Potato Chips,29,"1,68","48,72"
ID07470,24-дек.,East,New York,Cookies,Arrowroot,237,"2,18","516,66"
ID07471,27-дек.,East,New York,Cookies,Chocolate Chip,65,"1,87","121,55"
ID07472,30-дек.,West,San Diego,Cookies,Arrowroot,83,"2,18","180,94"
ID07473,2-янв.,East,Boston,Cookies,Arrowroot,32,"2,18","69,76"
ID07474,5-янв.,East,Boston,Bars,Carrot,63,"1,77","111,51"
ID07475,8-янв.,East,Boston,Snacks,Pretzels,29,"3,15","91,35"
ID07476,11-янв.,West,Los Angeles,Bars,Bran,77,"1,87","143,99"
ID07477,14-янв.,West,Los Angeles,Cookies,Oatmeal Raisin,80,"2,84","227,2"
ID07478,17-янв.,East,New York,Bars,Carrot,102,"1,77","180,54"
ID07479,20-янв.,East,New York,Crackers,Whole Wheat,31,"3,49","108,19"
ID07480,23-янв.,West,San Diego,Bars,Carrot,56,"1,77","99,12"
ID07481,26-янв.,East,Boston,Cookies,Arrowroot,52,"2,18","113,36"
ID07482,29-янв.,East,Boston,Bars,Carrot,51,"1,77","90,27"
ID07483,1-февр.,East,Boston,Snacks,Potato Chips,24,"1,68","40,32"
ID07484,4-февр.,West,Los Angeles,Cookies,Arrowroot,58,"2,18","126,44"
ID07485,7-февр.,West,Los Angeles,Cookies,Chocolate Chip,34,"1,87","63,58"
ID07486,10-февр.,East,New York,Bars,Carrot,34,"1,77","60,18"
ID07487,13-февр.,East,New York,Snacks,Potato Chips,21,"1,68","35,28"
ID07488,16-февр.,West,San Diego,Cookies,Oatmeal Raisin,29,"2,84","82,36"
ID07489,19-февр.,East,Boston,Bars,Carrot,68,"1,77","120,36"
ID07490,22-февр.,East,Boston,Snacks,Pretzels,31,"3,15","97,65"
ID07491,25-февр.,West,Los Angeles,Cookies,Arrowroot,30,"2,18","65,4"
ID07492,28-февр.,West,Los Angeles,Cookies,Chocolate Chip,232,"1,87","433,84"
ID07493,2-мар.,East,New York,Bars,Bran,68,"1,87","127,16"
ID07494,5-мар.,East,New York,Cookies,Oatmeal Raisin,97,"2,84","275,48"
ID07495,8-мар.,West,San Diego,Bars,Bran,86,"1,87","160,82"
ID07496,11-мар.,West,San Diego,Snacks,Potato Chips,41,"1,68","68,88"
ID07497,14-мар.,East,Boston,Bars,Carrot,93,"1,77","164,61"
ID07498,17-мар.,East,Boston,Snacks,Potato Chips,47,"1,68","78,96"
ID07499,20-мар.,West,Los Angeles,Bars,Carrot,103,"1,77","182,31"
ID07500,23-мар.,West,Los Angeles,Snacks,Potato Chips,33,"1,68","55,44"
ID07501,26-мар.,East,New York,Bars,Bran,57,"1,87","106,59"
ID07502,29-мар.,East,New York,Cookies,Oatmeal Raisin,65,"2,84","184,6"
ID07503,1-апр.,West,San Diego,Bars,Carrot,118,"1,77","208,86"
ID07504,4-апр.,East,Boston,Cookies,Arrowroot,36,"2,18","78,48"
ID07505,7-апр.,East,Boston,Cookies,Oatmeal Raisin,123,"2,84","349,32"
ID07506,10-апр.,West,Los Angeles,Bars,Carrot,90,"1,77","159,3"
ID07507,13-апр.,West,Los Angeles,Crackers,Whole Wheat,21,"3,49","73,29"
ID07508,16-апр.,East,New York,Bars,Carrot,48,"1,77","84,96"
ID07509,19-апр.,East,New York,Snacks,Potato Chips,24,"1,68","40,32"
ID07510,22-апр.,West,San Diego,Cookies,Chocolate Chip,67,"1,87","125,29"
ID07511,25-апр.,East,Boston,Bars,Bran,27,"1,87","50,49"
ID07512,28-апр.,East,Boston,Cookies,Oatmeal Raisin,129,"2,84","366,36"
ID07513,1-мая,West,Los Angeles,Cookies,Arrowroot,77,"2,18","167,86"
ID07514,4-мая,West,Los Angeles,Cookies,Chocolate Chip,58,"1,87","108,46"
ID07515,7-мая,East,New York,Bars,Bran,47,"1,87","87,89"
ID07516,10-мая,East,New York,Cookies,Oatmeal Raisin,33,"2,84","93,72"
ID07517,13-мая,West,San Diego,Cookies,Chocolate Chip,82,"1,87","153,34"
ID07518,16-мая,East,Boston,Bars,Carrot,58,"1,77","102,66"
ID07519,19-мая,East,Boston,Snacks,Pretzels,30,"3,15","94,5"
ID07520,22-мая,West,Los Angeles,Cookies,Chocolate Chip,43,"1,87","80,41"
ID07521,25-мая,East,New York,Bars,Carrot,84,"1,77","148,68"
ID07522,28-мая,West,San Diego,Cookies,Arrowroot,36,"2,18","78,48"
ID07523,31-мая,West,San Diego,Cookies,Oatmeal Raisin,44,"2,84","124,96"
ID07524,3-июн.,East,Boston,Bars,Bran,27,"1,87","50,49"
ID07525,6-июн.,East,Boston,Cookies,Oatmeal Raisin,120,"2,84","340,8"
ID07526,9-июн.,East,Boston,Crackers,Whole Wheat,26,"3,49","90,74"
ID07527,12-июн.,West,Los Angeles,Bars,Carrot,73,"1,77","129,21"
ID07528,15-июн.,East,New York,Bars,Bran,38,"1,87","71,06"
ID07529,18-июн.,East,New York,Cookies,Oatmeal Raisin,40,"2,84","113,6"
ID07530,21-июн.,West,San Diego,Bars,Carrot,41,"1,77","72,57"
ID07531,24-июн.,East,Boston,Bars,Banana,27,"2,27","61,29"
ID07532,27-июн.,East,Boston,Cookies,Chocolate Chip,38,"1,87","71,06"
ID07533,30-июн.,East,Boston,Crackers,Whole Wheat,34,"3,49","118,66"
ID07534,3-июл.,West,Los Angeles,Bars,Bran,65,"1,87","121,55"
ID07535,6-июл.,West,Los Angeles,Cookies,Oatmeal Raisin,60,"2,84","170,4"
ID07536,9-июл.,East,New York,Cookies,Arrowroot,37,"2,18","80,66"
ID07537,12-июл.,East,New York,Cookies,Chocolate Chip,40,"1,87","74,8"
ID07538,15-июл.,West,San Diego,Bars,Bran,26,"1,87","48,62"
ID07539,18-июл.,East,Boston,Bars,Banana,22,"2,27","49,94"
ID07540,21-июл.,East,Boston,Cookies,Chocolate Chip,32,"1,87","59,84"
ID07541,24-июл.,East,Boston,Crackers,Whole Wheat,23,"3,49","80,27"
ID07542,27-июл.,West,Los Angeles,Cookies,Arrowroot,20,"2,18","43,6"
ID07543,30-июл.,West,Los Angeles,Cookies,Chocolate Chip,64,"1,87","119,68"
ID07544,2-авг.,East,New York,Bars,Carrot,71,"1,77","125,67"
ID07545,5-авг.,West,San Diego,Cookies,Arrowroot,90,"2,18","196,2"
ID07546,8-авг.,West,San Diego,Cookies,Oatmeal Raisin,38,"2,84","107,92"
ID07547,11-авг.,East,Boston,Bars,Carrot,55,"1,77","97,35"
ID07548,14-авг.,East,Boston,Snacks,Pretzels,22,"3,15","69,3"
ID07549,17-авг.,West,Los Angeles,Bars,Carrot,34,"1,77","60,18"
ID07550,20-авг.,East,New York,Bars,Bran,39,"1,87","72,93"
ID07551,23-авг.,East,New York,Cookies,Oatmeal Raisin,41,"2,84","116,44"
ID07552,26-авг.,West,San Diego,Bars,Carrot,41,"1,77","72,57"
ID07553,29-авг.,East,Boston,Cookies,Arrowroot,136,"2,18","296,48"
ID07554,1-сент.,East,Boston,Bars,Carrot,25,"1,77","44,25"
ID07555,4-сент.,East,Boston,Snacks,Pretzels,26,"3,15","81,9"
ID07556,7-сент.,West,Los Angeles,Bars,Bran,50,"1,87","93,5"
ID07557,10-сент.,West,Los Angeles,Cookies,Oatmeal Raisin,79,"2,84","224,36"
ID07558,13-сент.,East,New York,Bars,Carrot,30,"1,77","53,1"
ID07559,16-сент.,East,New York,Snacks,Potato Chips,20,"1,68","33,6"
ID07560,19-сент.,West,San Diego,Bars,Carrot,49,"1,77","86,73"
ID07561,22-сент.,East,Boston,Cookies,Arrowroot,40,"2,18","87,2"
ID07562,25-сент.,East,Boston,Bars,Carrot,31,"1,77","54,87"
ID07563,28-сент.,East,Boston,Snacks,Pretzels,21,"3,15","66,15"
ID07564,1-окт.,West,Los Angeles,Bars,Bran,43,"1,87","80,41"
ID07565,4-окт.,West,Los Angeles,Cookies,Oatmeal Raisin,47,"2,84","133,48"
ID07566,7-окт.,East,New York,Cookies,Arrowroot,175,"2,18","381,5"
ID07567,10-окт.,East,New York,Cookies,Chocolate Chip,23,"1,87","43,01"
ID07568,13-окт.,West,San Diego,Bars,Carrot,40,"1,77","70,8"
ID07569,16-окт.,East,Boston,Cookies,Arrowroot,87,"2,18","189,66"
ID07570,19-окт.,East,Boston,Bars,Carrot,43,"1,77","76,11"
ID07571,22-окт.,East,Boston,Crackers,Whole Wheat,30,"3,49","104,7"
ID07572,25-окт.,West,Los Angeles,Bars,Carrot,35,"1,77","61,95"
ID07573,28-окт.,East,New York,Bars,Bran,57,"1,87","106,59"
ID07574,31-окт.,East,New York,Snacks,Potato Chips,25,"1,68",42
ID07575,3-нояб.,West,San Diego,Cookies,Chocolate Chip,24,"1,87","44,88"
ID07576,6-нояб.,East,Boston,Bars,Bran,83,"1,87","155,21"
ID07577,9-нояб.,East,Boston,Cookies,Oatmeal Raisin,124,"2,84","352,16"
ID07578,12-нояб.,West,Los Angeles,Bars,Carrot,137,"1,77","242,49"
ID07579,15-нояб.,East,New York,Cookies,Arrowroot,146,"2,18","318,28"
ID07580,18-нояб.,East,New York,Cookies,Chocolate Chip,34,"1,87","63,58"
ID07581,21-нояб.,West,San Diego,Bars,Carrot,20,"1,77","35,4"
ID07582,24-нояб.,East,Boston,Cookies,Arrowroot,139,"2,18","303,02"
ID07583,27-нояб.,East,Boston,Cookies,Chocolate Chip,211,"1,87","394,57"
ID07584,30-нояб.,East,Boston,Crackers,Whole Wheat,20,"3,49","69,8"
ID07585,3-дек.,West,Los Angeles,Bars,Bran,42,"1,87","78,54"
ID07586,6-дек.,West,Los Angeles,Cookies,Oatmeal Raisin,100,"2,84",284
ID07587,9-дек.,East,New York,Bars,Carrot,38,"1,77","67,26"
ID07588,12-дек.,East,New York,Crackers,Whole Wheat,25,"3,49","87,25"
ID07589,15-дек.,West,San Diego,Cookies,Chocolate Chip,96,"1,87","179,52"
ID07590,18-дек.,East,Boston,Cookies,Arrowroot,34,"2,18","74,12"
ID07591,21-дек.,East,Boston,Cookies,Chocolate Chip,245,"1,87","458,15"
ID07592,24-дек.,East,Boston,Crackers,Whole Wheat,30,"3,49","104,7"
ID07593,27-дек.,West,Los Angeles,Bars,Bran,30,"1,87","56,1"
ID07594,30-дек.,West,Los Angeles,Cookies,Oatmeal Raisin,44,"2,84","124,96"
